genes,GSM399666,GSM399667,GSM399669,GSM399676,GSM399679,GSM399682,GSM399685,GSM399689,GSM399717,GSM399718,GSM399719,GSM399761,GSM399762,GSM399763,GSM399765,GSM399766
GTPBP3,4.024490782,3.940375894,4.144935985,4.176678019,3.840867368,3.935745083,3.6953152,4.108476298,4.076782298,4.06355696,3.880167805,3.803856244,4.005758291,3.856339145,3.651969697,3.727683883
GTPBP4,4.730899224,4.656883004,4.544174451,4.364117375,4.630384639,4.184813855,4.293904605,4.371477978,4.911606668,4.972745982,4.678890483,4.606862661,4.430925211,4.625038508,4.61613571,4.714091103
GTPBP6,6.030245344,5.10181355,5.408903289,5.29626848,5.380770589,5.17221948,5.372238173,4.983841293,4.901563687,5.43388646,5.574152121,5.080859625,4.667585769,5.370484386,5.056903054,5.023299424
GTPBP8,4.129651705,4.261807043,3.950718563,4.014562917,4.017519987,4.129394772,3.922555183,4.094536566,4.256363302,3.885751906,4.243539746,4.214432889,4.034184525,3.953229763,4.291582816,4.162325197
GTSE1,3.611452136,3.791349055,3.850446078,3.548461627,3.813190836,3.653619047,3.872574756,3.756165614,3.645803597,3.754005284,3.533134025,3.930676897,3.894036308,3.714731028,3.625218493,3.862245473
GTSE1-DT,2.046408286,2.28757626,2.338137993,1.845261802,1.896389003,2.509043526,2.048201955,2.090936236,2.162532002,1.925537698,1.625877478,2.116588104,2.200652164,2.017846276,2.080287412,2.500402199
GTSF1,4.197984137,4.17861203,4.08514299,3.810220953,4.529423029,4.059039303,3.864329725,4.08406045,4.038088992,3.970539108,4.27140956,4.55741824,3.952033037,4.285159734,4.352195287,4.23462035
GTSF1L,3.248711128,3.493921425,2.754112477,3.116362748,3.291758122,2.984879157,3.415695895,3.040956928,3.399267695,3.043947617,3.013380751,2.736933032,3.011091287,3.040404478,2.657799486,2.932232823
GUCA1A,2.598966568,2.707687831,2.568922755,2.624849571,2.636362889,2.507244017,2.644274138,2.74382073,2.613810762,2.697636379,2.602104669,2.625266364,2.705440066,2.56627414,2.708141147,2.515560929
GUCA1B,4.147612129,4.138372539,4.255249393,4.498451922,4.11702791,4.127035701,4.059327692,4.227791317,4.325178862,3.972765429,4.127210658,4.224861975,4.317648101,4.440205507,4.339407745,4.557875607
GUCA1C,1.508592771,1.497072518,1.542140879,1.533259379,1.62670331,1.665172357,1.481382951,1.696063149,1.51212531,1.468411129,1.422458382,1.357097601,1.272357863,1.507364643,1.593184459,1.573741986
GUCA2B,2.426405647,2.356435067,2.504791087,2.921244354,2.358333674,2.487517011,2.394681734,2.779808064,2.392811541,2.114771814,2.568971473,2.516533821,2.415900647,2.39020761,2.309356117,2.358344722
GUCD1,6.901464433,6.981688693,6.878284884,6.940656133,6.877603781,6.674114748,6.899217454,6.574859727,6.696777351,6.610120055,6.622928042,6.613818718,6.725857953,6.937035195,6.875098103,7.016491139
GUCY1A1,2.973333783,3.78753872,3.14195377,3.727499133,4.157700552,3.351203613,4.033389896,3.563294677,3.500262196,3.999935425,3.200709686,4.073674382,3.614996759,3.611060864,3.676169737,3.47346269
GUCY1A2,1.477908548,1.609090528,1.600189812,1.671381369,1.608255349,1.597328363,1.715087965,1.650611242,1.654462127,1.537841428,1.500993368,1.635661318,1.57514083,1.636945908,1.539243494,1.467328187
GUCY1B1,3.403440554,4.609586193,4.692552508,5.316938268,5.69595139,4.473133702,4.810164236,5.440013841,4.29265152,4.760972172,4.495402189,5.163542618,4.65793948,4.331506323,4.933056716,3.567064199
GUCY1B2,2.938749926,2.965745491,2.903398881,2.936047046,2.978857806,2.87583818,3.219193402,2.936047046,3.526293316,2.670201584,2.880697712,2.931889405,2.752115943,2.662322912,3.082286656,2.922857223
GUCY2C,1.778735657,2.006718857,1.675129522,1.727972488,2.081839676,2.212672157,1.877329505,1.903657633,2.003796275,1.726199405,1.808012478,1.70891473,1.897028093,1.727972488,1.707199036,1.926817395
GUCY2D,2.905545491,3.291546,3.070347569,2.929328067,2.588137308,2.801382389,3.11519513,2.928139073,3.04881556,2.808882081,2.956079924,2.840747612,2.610605534,2.700891318,2.546999586,2.813607199
GUCY2F,1.746439356,2.121692553,1.83096458,1.464499609,2.028809399,1.882221808,1.795647029,1.841387127,2.000635372,1.555469824,1.555469824,1.713702414,1.501937376,1.596362423,1.907789379,1.721651281
GUF1,2.984855626,3.42593149,3.36126161,2.90730697,3.285892259,3.050633751,2.641066476,3.125080907,3.305406606,3.219116327,3.014066567,3.366479934,2.839126073,3.237717704,3.419812017,3.404325175
